Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ParentId,ClosedDate,OwnerDisplayName
42,1,51,1470118165,5,560,8,What is the purpose of the hidden layers?,hidden-layers,2,0,1,,,
43,2,,1470118201,16,,47,,,,0,,10,,
44,2,,1470118328,5,,10,,,,0,,40,,
45,2,,1470118369,14,,71,,,,5,,17,,
46,1,71,1470118466,8,564,55,When did Artificial Intelligence research first start?,history,2,1,1,,,
47,2,,1470118469,2,,42,,,,0,,28,,
48,2,,1470118549,2,,10,,,,0,,42,,
49,2,,1470118585,12,,4,,,,5,,35,,
50,1,138,1470118606,2,73,8,How can generalization error be estimated?,"deep-network,generalization",1,0,,,,
51,2,,1470118619,5,,33,,,,0,,42,,
52,1,1437,1470118770,5,346,62,Is it possible to implement reinforcement learning using a neural network?,"neural-networks,reinforcement-learning",1,2,,,,
53,2,,1470118803,30,,28,,,,0,,35,,
54,1,76,1470118840,5,122,55,Does the recent advent of a Go playing computer represent Artificial Intelligence?,game-theory,4,0,2,,,
55,2,,1470118843,2,,5,,,,0,,35,,
56,2,,1470118852,9,,10,,,,0,,35,,
57,2,,1470118993,0,,10,,,,1,,17,,
58,1,,1470119120,6,890,55,Who first coined the term Artificial Intelligence?,history,1,0,1,,,
59,2,,1470119177,0,,5,,,,2,,46,,
60,1,1464,1470119269,10,238,77,What are the main problems hindering current AI development?,machine-learning,3,0,1,,,
61,2,,1470119309,3,,8,,,,0,,36,,
62,2,,1470119351,2,,10,,,,0,,28,,
63,1,208,1470119364,8,137,8,What kind of problems require more than 2 hidden layers?,"deep-network,hidden-layers",1,2,4,,,
64,1,,1470119369,3,45,55,What were the first areas of research and what were some early successes?,history,1,0,,,,
65,2,,1470119428,9,,46,,,,0,,41,,
66,2,,1470119484,6,,71,,,,0,,58,,
67,1,72,1470119511,3,630,8,What are the real world uses for SAT solvers?,models,1,1,1,,,
68,1,,1470119632,4,117,46,What genetic algorithm designs are there that includes models of epigenetics?,genetic-algorithms,2,2,0,,,
69,2,,1470119666,6,,10,,,,0,,54,,
70,1,,1470119935,18,262,46,Is the pattern recognition capability of CNNs limited to image processing?,"deep-network,neural-networks,image-recognition,convolutional-neural-networks",4,4,2,,,
71,2,,1470119940,7,,8,,,,0,,46,,
72,2,,1470119952,1,,10,,,,1,,67,,
73,2,,1470120020,8,,75,,,,0,,37,,
74,1,141,1470120155,32,11012,55,What is the difference between strong-AI and weak-AI?,"strong-ai,weak-ai,terminology",3,0,10,,,
75,1,,1470120173,0,77,33,What's the state of the art w.r.t research on the legal aspects of Artificial Intelligence?,legal,1,0,,,,
76,2,,1470120194,7,,28,,,,0,,54,,
77,1,131,1470120301,18,663,55,Is Lisp still being used to tackle AI problems?,"history,programming-languages,lisp",4,0,6,,,
79,2,,1470120351,3,,33,,,,0,,75,,
80,1,85,1470120367,6,162,96,Specific requirements of the Turing Test,turing-test,2,0,,,,
81,1,87,1470120580,3,269,55,What are some examples of statistical AI?,statistical-ai,4,0,0,,,
82,1,,1470120615,1,30,96,Optimality theory and WI,neural-networks,0,1,,,,
83,2,,1470120880,2,,101,,,,0,,1,,
84,1,,1470120937,12,229,55,Are methods of exhaustive search considered to be AI?,"gaming,search,chess,heuristics",5,3,2,,,
85,2,,1470121151,10,,97,,,,0,,80,,
86,1,93,1470121170,19,624,8,How is deep learning different from other neural networks?,"neural-networks,deep-network,comparison",2,0,8,,,
87,2,,1470121190,7,,101,,,,0,,81,,
88,1,2573,1470121278,3,261,8,Why does unsupervised pre-training help in deep learning?,"deep-learning,unsupervised-learning",1,0,,,,
89,2,,1470121325,7,,75,,,,4,,84,,
91,1,97,1470121475,13,201,5,Are search engines considered AI?,search,1,1,3,,,
92,1,250,1470121527,49,3173,8,How is it possible that deep neural networks are so easily fooled?,"convolutional-neural-networks,image-recognition,deep-network,computer-vision",8,7,18,,,
93,2,,1470121581,24,,30,,,,3,,86,,
94,1,132,1470121606,4,62,8,What is the significance of weights in a feedforward neural network?,"neural-networks,feedforward",1,0,,,,
95,2,,1470121728,9,,101,,,,0,,86,,
96,1,98,1470121978,6,124,5,What is Deep Network?,deep-network,2,3,,,,
97,2,,1470122122,17,,33,,,,0,,91,,
98,2,,1470122292,8,,101,,,,0,,96,,
100,2,,1470123412,4,,10,,,,0,,96,,
101,2,,1470123518,8,,10,,,,1,,84,,
102,2,,1470123725,2,,33,,,,0,,80,,
103,1,,1470124061,3,496,55,What are some examples of Classical AI?,classical-ai,1,0,1,,,
104,1,,1470124562,9,173,46,Can artificial intelligence be thought of as optimization?,"optimization,agi",2,0,3,,,
105,2,,1470125524,7,,70,,,,0,,103,,
106,2,,1470125677,3,,29,,,,0,,54,,
107,2,,1470125803,3,,112,,,,2,,81,,
108,1,,1470125864,3,731,69,What are the main advantages of using declarative programming languages for building AI?,declarative-programming,2,3,1,,,
109,1,,1470126559,3,37,33,"Can rule induction be considered a way to ""hybridize"" probabilistic / statistical approaches and symbolic approaches?","gofai,symbolic-computing",1,0,,,,
111,1,134,1470128277,58,3603,8,How could self-driving cars make ethical decisions about who to kill?,"algorithm,self-driving,decision-theory,ethics",13,6,14,,,
112,1,,1470128384,4,661,8,Which machine learning algorithm is used in self-driving cars?,"deep-network,algorithm,self-driving",2,1,,,,
113,1,,1470128553,7,206,127,What's the difference between hyperbolic tangent and sigmoid neurons?,"deep-network,neural-networks,machine-learning,hidden-layers",2,0,1,,,
114,2,,1470128562,19,,75,,,,2,,36,,
115,2,,1470129252,1,,52,,,,0,,77,,
116,2,,1470129406,4,,66,,,,0,,108,,
117,2,,1470129486,8,,10,,,,0,,104,,
118,1,122,1470129740,5,117,29,How can fuzzy logic be used in creating AI?,fuzzy-logic,2,0,1,,,
119,2,,1470130080,3,,10,,,,0,,113,,
120,1,125,1470130261,4,110,29,How does Lucas's argument work?,"philosophy,incompleteness-theorems",2,0,1,,,
121,2,,1470130456,3,,10,,,,0,,118,,
122,2,,1470130466,9,,66,,,,0,,118,,
123,1,,1470130927,8,232,66,Does the Chinese Room argument hold against AI?,"philosophy,chinese-room-argument",4,0,1,,,
124,2,,1470131218,2,,10,,,,0,,120,,
125,2,,1470131386,3,,66,,,,0,,120,,
126,2,,1470131491,2,,148,,,,0,,123,,
127,2,,1470131568,5,,10,,,,0,,123,,
128,2,,1470131625,5,,29,,,,1,,123,,
129,2,,1470131871,6,,10,,,,4,,68,,
130,1,135,1470131908,2,31,8,What are the main differences between Deep Boltzmann Machines and Deep Belief Network?,boltzmann-machine,1,0,,,,
131,2,,1470132065,7,,130,,,,0,,77,,
132,2,,1470132115,5,,143,,,,0,,94,,
134,2,,1470132647,41,,75,,,,10,,111,,
135,2,,1470132755,3,,29,,,,0,,130,,
136,1,,1470132922,1,94,8,Number of input variables for a cellular automaton (was: Squares or hexagonal?),"evolutionary-algorithms,topology,efficiency",0,5,2,,,
137,2,,1470133002,4,,149,,,,1,,123,,
138,2,,1470133932,5,,144,,,,0,,50,,
139,2,,1470134256,4,,71,,,,0,,108,,
140,1,144,1470134279,7,123,29,Does this argument refuting the existence of ultraintelligent machines work?,"philosophy,ultraintelligent-machine",3,2,,,,
141,2,,1470134904,25,,149,,,,0,,74,,
142,2,,1470135471,6,,143,,,,0,,16,,
143,2,,1470135670,3,,144,,,,3,,28,,
144,2,,1470135970,3,,152,,,,0,,140,,
145,1,,1470136226,7,235,144,What is the relevance of AIXI on current artificial intelligence research?,"models,agi",2,0,3,,,
146,1,,1470136476,1,154,144,In what ways can connectionist A.I. be integrated with GOFAI?,"neural-networks,classical-ai,gofai,symbolic-computing",1,0,,,,
147,1,,1470136534,2,188,159,Can we ever achieve hypercomputation using recurrent neural networks?,"neural-networks,hypercomputation,recurrent-neural-networks",2,1,1,,,
148,1,170,1470136604,14,295,55,"What limits, if any, does the halting problem put on Artificial Intelligence?",halting-problem,2,0,5,,,
149,2,,1470136696,2,,75,,,,4,,140,,
151,1,,1470137125,1,36,8,"Can DeepDream produce a ""dream"" from 3 images?","convolutional-neural-networks,deepdream",0,2,1,,,
152,1,1728,1470137672,7,298,8,Why is the generation of deep style images so slow and resource-hungry?,"performance,neural-doodle,deepdreaming",2,0,,,,
153,1,,1470137788,8,1018,144,Can autoencoders be used for supervised learning?,neural-networks,2,2,,,,
154,1,158,1470137852,13,6013,8,Is it possible to train the neural network to solve math equations?,"neural-networks,math",4,0,6,,,
155,2,,1470139076,6,,46,,,,0,,154,,
156,1,,1470139141,14,722,144,Are there any computational models of mirror neurons?,"neural-networks,models",3,0,7,,,
157,1,267,1470141530,6,87,46,What artificial intelligence strategies are useful for summarization?,"algorithm,natural-language,pattern-recognition",1,0,0,,,
158,2,,1470142252,11,,109,,,,1,,154,,
159,1,238,1470142916,1,248,8,Is it possible to apply deep dream technique for the audio streams?,"convolutional-neural-networks,deepdreaming",1,0,,,,
161,2,,1470144717,10,,130,,,,2,,111,,
162,2,,1470145497,4,,46,,,,0,,111,,
163,2,,1470146162,4,,143,,,,0,,13,,
164,2,,1470147374,3,,169,,,,0,,77,,
165,2,,1470148835,1,,130,,,,3,,140,,
166,2,,1470150533,5,,156,,,,1,,77,,
167,1,174,1470153330,4,91,8,Why would neural network dream scenes mirror the hallucinations people experience when they're tripping?,"convolutional-neural-networks,deepdream,computer-vision,deepdreaming",1,0,,,,
169,1,176,1470154357,1,45,8,What are the challenges for recognising the handwritten characters?,"quantum-computing,handwritten-characters,ocr",1,0,2,,,
170,2,,1470154621,6,,10,,,,1,,148,,
171,2,,1470155008,7,,10,,,,0,,74,,
172,1,,1470159215,1,50,104,AIs' self-evaluation threshold,"neural-networks,machine-learning,unsupervised-learning,unassisted-learning",3,0,1,,,
173,2,,1470162148,9,,130,,,,1,,148,,
174,2,,1470162430,7,,10,,,,0,,167,,
176,2,,1470163310,6,,130,,,,0,,169,,
177,2,,1470163699,5,,70,,,,2,,26,,
178,2,,1470163950,3,,130,,,,0,,172,,
179,1,,1470165339,6,126,70,How can the multiple intelligences model be incorporated into AI?,"emotional-intelligence,new-ai",2,0,,,,
180,1,,1470165781,2,51,202,How can we build a word vector for a language?,"algorithm,natural-language-processing,wordvector",0,1,,,1478777154,
182,1,183,1470166290,13,192,202,Optimal number of layers in a neural network?,"neural-networks,hidden-layers",2,0,3,,,
183,2,,1470166548,8,,101,,,,7,,182,,
184,1,,1470168208,3,39,70,Are there emergent models of time in robots?,"knowledge-representation,time,embodied-cognition",1,7,2,,,
185,2,,1470168603,3,,29,,,,0,,172,,
186,1,,1470169212,2,539,55,Does a quantum computer resolve the halting problem and would that advance strong AI?,"quantum-computing,halting-problem,strong-ai",2,5,,,1471195730,
187,2,,1470170221,1,,70,,,,0,,37,,
188,2,,1470171616,3,,42,,,,1,,184,,
189,2,,1470172390,16,,42,,,,0,,26,,
190,2,,1470173768,3,,42,,,,0,,186,,
191,1,1526,1470175041,5,81,145,What was the first machine that was able to carry on a conversation?,"history,turing-test,natural-language",2,2,,,,
193,2,,1470176556,1,,42,,,,0,,146,,
196,2,,1470178167,5,,29,,,,3,,191,,
197,1,,1470178613,6,172,169,Is there a strong argument that survival instinct is a prerequisite for creating an AGI?,agi,3,2,,,,
198,1,1345,1470178865,15,199,101,"What research has been done in the domain of ""Identifying sarcasm in text""?","natural-language,research",2,2,7,,,
199,2,,1470179186,2,,8,,,,1,,41,,
200,2,,1470179834,23,,74,,,,1,,111,,
201,2,,1470179904,9,,169,,,,0,,70,,
202,1,206,1470179932,0,132,8,How can you simulate level of curiosity for a chat bot?,"emotional-intelligence,chat-bots",2,0,2,,,
205,1,219,1470182638,4,1038,8,How to write C decompiler using AI?,"algorithm,deep-learning",1,1,,,,
206,2,,1470183178,7,,42,,,,0,,202,,
207,1,,1470183289,4,54,,Can abstractive summarization be achieved using neural networks?,"neural-networks,natural-language,text-summarization",1,0,,,,user220
208,2,,1470183977,10,,42,,,,0,,63,,
210,1,215,1470189775,0,27,8,What's the most suitable format to store huge number of neurons states?,storage,2,0,,,1471011164,
211,1,1664,1470191276,1,213,8,How does DeepQA analyze natural language?,"algorithm,natural-language,watson,lexical-recognition",1,7,1,,1471514142,
212,1,,1470192066,1,82,8,How to store datasets of lexical connections?,"algorithm,models,research,storage,lexical-recognition",2,0,1,,,
213,2,,1470192368,0,,87,,,,0,,210,,
214,1,,1470193280,2,47,29,Which objective tests have been developed to test the intelligence of AI?,intelligence-testing,0,2,1,,,
215,2,,1470193360,1,,42,,,,0,,210,,
216,2,,1470195329,5,,42,,,,0,,68,,
217,2,,1470197003,1,,42,,,,2,,207,,
218,1,1745,1470197837,5,928,8,How to resolve lexical ambiguity in natural language processing?,"natural-language-processing,lexical-recognition",2,2,3,,,
219,2,,1470197979,3,,42,,,,0,,205,,
220,1,223,1470198230,1,213,8,How does unsupervised learning model learn?,"models,unsupervised-learning",1,3,,,,
221,1,,1470198759,4,103,10,"How would we know if AI development will continue to be multipolar, or will become monolithic?","research,ai-community",1,2,1,,,
222,2,,1470199142,5,,8,,,,1,,1,,
223,2,,1470199262,6,,10,,,,0,,220,,
224,1,,1470200283,4,66,148,How could AI be used to augment human biological intelligence?,cyborg,1,3,1,,,
225,1,228,1470201950,-6,173,8,What are the approaches to predict sequence of π numbers?,"training,math,recurrent-neural-networks",2,4,,,1470212478,
226,2,,1470202035,5,,10,,,,5,,224,,
227,1,1287,1470202366,6,867,8,What is the difference between MLP and RBF?,"comparison,mlp",2,3,,,,
228,2,,1470202375,3,,42,,,,0,,225,,
229,2,,1470202775,-4,,5,,,,5,,227,,
230,2,,1470202933,-1,,8,,,,0,,225,,
232,2,,1470203141,3,,42,,,,0,,197,,
233,1,236,1470203778,10,293,39,Are neural networks and its variants the only way to reach true artificial intelligence?,neural-networks,3,2,2,,,
234,2,,1470203893,4,,10,,,,1,,197,,
235,2,,1470204328,3,,42,,,,0,,147,,
236,2,,1470205302,12,,42,,,,0,,233,,
237,1,253,1470205356,4,83,8,Are there any microchips specifically designed to run ANNs?,"image-recognition,hardware",1,4,1,,,
238,2,,1470206793,3,,42,,,,0,,159,,
239,2,,1470208636,4,,66,,,,0,,233,,
240,1,243,1470208925,12,1114,30,What exactly are genetic algorithms and what sort of problems are they good for?,genetic-algorithms,5,0,5,,,
241,1,,1470209058,4,125,66,Has an AI ever solved a detective mystery?,"natural-language,problem-solving,world-knowledge",3,1,,,,
242,2,,1470209248,7,,66,,,,2,,240,,
243,2,,1470210122,8,,4,,,,1,,240,,
244,2,,1470210209,4,,42,,,,0,,240,,
246,2,,1470211112,5,,244,,,,0,,240,,
247,1,,1470211524,6,273,66,What are the limits to what can be learnt using a backpropagation neural network?,"neural-networks,machine-learning,backpropagation,learning-theory",2,2,2,,,
248,1,5803,1470211526,15,1111,42,Issues with and alternatives to Deep Learning approaches?,deep-learning,4,2,2,,,
249,1,1286,1470211942,2,50,8,Is it possible for 'unsupervised learning' model to recognize features on unlabelled images?,"image-recognition,unsupervised-learning",1,1,,,,
250,2,,1470212338,38,,75,,,,2,,92,,
253,2,,1470213423,5,,8,,,,0,,237,,
258,1,3936,1470215000,5,119,8,Which ANN can mimic biological neurons the most?,artificial-neuron,3,1,3,,,
264,2,,1470218602,1,,42,,,,0,,172,,
265,2,,1470218606,0,,8,,,,1,,241,,
266,2,,1470222483,2,,42,,,,0,,247,,
267,2,,1470228108,5,,130,,,,0,,157,,
268,2,,1470229705,1,,130,,,,4,,258,,
271,2,,1470230753,9,,130,,,,0,,92,,
272,2,,1470236221,3,,33,,,,0,,233,,
1274,1,,1470238760,0,120,8,Are there any studies which attempt to use AI to guess the human emotion based on the brainwaves?,"research,signal-processing",2,6,2,,,
1285,1,1315,1470251223,8,222,1256,Artificial Intelligence on the blockchain,untagged,2,0,2,,,
1286,2,,1470255920,1,,210,,,,0,,249,,
1287,2,,1470256999,5,,144,,,,3,,227,,
1288,1,,1470260046,5,951,144,Did Minsky & Papert know that multilayer perceptrons could solve XOR?,"neural-networks,history",1,4,1,,,
1289,1,,1470260476,3,87,39,Can we destroy artificial general intelligence without its consent?,ethics,2,1,,,,
1290,1,2229,1470260613,7,581,144,How much of Deep Mind's work is actually reproducible?,"neural-networks,deep-learning,research",2,3,1,,,
1292,2,,1470261513,4,,169,,,,2,,1290,,
1293,2,,1470261988,5,,42,,,,3,,1289,,
1294,1,1313,1470263286,30,19807,144,"How does Hinton's ""capsules theory"" work?",neural-networks,5,2,26,,,
1295,1,1299,1470263556,9,150,144,What are the advantages of complex-valued neural networks?,neural-networks,1,0,3,,,
1296,1,,1470263983,7,1387,144,"How does ""novelty search"" work?",genetic-algorithms,2,0,1,,,
1297,1,1327,1470266541,3,53,8,How to distinguish AI modeling from implementation?,"models,comparison,implementation",2,0,,,,
1298,2,,1470268337,3,,30,,,,2,,241,,
1299,2,,1470270539,8,,42,,,,5,,1295,,
1300,2,,1470273036,4,,42,,,,0,,1296,,
1301,1,1337,1470276626,1,47,8,Do you need single or multiple networks to detect multiple faces?,"deep-network,algorithm,image-recognition",1,2,,,,
1303,1,1305,1470277687,2,1851,217,Can PHP be considered as a serious programming language for AI?,"neural-networks,programming-languages",2,3,,,1470286553,
1305,2,,1470278110,6,,74,,,,1,,1303,,
1306,1,1312,1470278422,1,125,8,What are the dangers of AI applications for nuclear industry?,applications,2,4,,,,
1307,2,,1470279023,3,,1263,,,,2,,1303,,
1308,1,,1470279481,2,26,8,Would ever AI replace pilots on commercial flights?,untagged,0,2,,,1470290573,
1310,2,,1470282005,2,,132,,,,0,,241,,
1311,2,,1470283213,6,,72,,,,1,,1274,,
1312,2,,1470283475,2,,10,,,,0,,1306,,
1313,2,,1470284217,27,,10,,,,1,,1294,,
1314,1,1316,1470284290,5,802,8,How powerful a computer is required to simulate the human brain?,"hardware,neuromorphic-computing",3,1,,,,
1315,2,,1470284617,6,,10,,,,1,,1285,,
1316,2,,1470285316,6,,10,,,,0,,1314,,
1317,2,,1470285361,2,,1263,,,,0,,1314,,
1318,1,1820,1470287441,2,319,8,What would happen if someone jumped in the front of a Google car?,"self-driving,decision-theory",1,5,,,,
1319,2,,1470288125,4,,10,,,,0,,70,,
1320,1,1324,1470288337,1,162,173,How does artificial intelligence work in games?,gaming,2,1,2,,1471234923,
1321,2,,1470288787,2,,101,,,,3,,1320,,
1322,2,,1470289690,5,,130,,,,1,,240,,
1323,1,1325,1470289753,2,48,1270,Is there a way to define the boundaries of the optimal size of a training set?,"neural-networks,training,optimization,topology",2,0,,,,
1324,2,,1470290683,5,,10,,,,0,,1320,,
1325,2,,1470290978,3,,10,,,,0,,1323,,
1326,2,,1470291338,2,,130,,,,0,,1323,,
1327,2,,1470291849,4,,42,,,,0,,1297,,
1328,2,,1470294956,5,,72,,,,2,,1314,,
1329,2,,1470296057,3,,42,,,,1,,64,,
1332,1,,1470299191,6,178,46,How important is true randomness in AI designs?,ai-design,1,0,1,,,
1333,1,1370,1470299493,0,26,8,Does learning content from additional encyclopedias consume much less amount of storage?,"watson,storage",2,0,,,,
1334,1,1342,1470300044,2,75,8,How does Watson find and evaluate its evidence to the answer?,watson,2,0,,,,
1335,2,,1470301007,5,,10,,,,3,,1332,,
1337,2,,1470303366,3,,143,,,,0,,1301,,
1338,2,,1470305558,7,,42,,,,2,,36,,
1339,2,,1470305737,5,,62,,,,0,,1274,,
1340,2,,1470307715,4,,42,,,,0,,156,,
1341,2,,1470308744,2,,127,,,,0,,247,,
1342,2,,1470310831,3,,127,,,,0,,1334,,
1345,2,,1470311148,5,,130,,,,0,,198,,
1348,1,1355,1470318541,18,408,71,"Are Asimov's Laws flawed by design, or are they feasible in practice?",asimovs-laws,3,3,3,,,
1354,1,2143,1470325517,7,362,8,"Are there any textual CAPTCHA challenges which can fool AI, but not human?","image-recognition,research,ocr",4,3,2,,,
1355,2,,1470326151,10,,46,,,,4,,1348,,
1356,2,,1470336762,2,,101,,,,0,,198,,
1357,1,1359,1470339623,9,149,1278,How can the EQ of an AI program be measured?,"emotional-intelligence,intelligence-testing",1,1,1,,,
1358,1,1361,1470344630,15,692,101,"How does ""Monte-Carlo search"" work?","gaming,monte-carlo-tree-search",1,0,5,,,
1359,2,,1470349464,6,,42,,,,0,,1357,,
1360,1,1369,1470351110,6,113,1284,Has any research been done on DNN Music?,"deep-network,machine-learning",1,2,3,,,
1361,2,,1470353529,12,,30,,,,2,,1358,,
1362,1,1365,1470357571,4,704,101,"How to avoid falling into the ""local minima"" trap?","neural-networks,backpropagation,gradient-descent",1,4,2,,1470385978,
1363,1,,1470358179,8,265,1283,Is it beneficial to represent a neural net as a matrix?,neural-networks,3,2,,,,
1364,2,,1470358733,4,,101,,,,0,,1363,,
1365,2,,1470358814,5,,42,,,,0,,1362,,
1366,2,,1470359740,4,,42,,,,0,,1363,,
1367,2,,1470362103,0,,1282,,,,10,,1354,,
1369,2,,1470362713,6,,70,,,,0,,1360,,
1370,2,,1470369354,3,,10,,,,1,,1333,,
1371,2,,1470369591,2,,10,,,,0,,179,,
1372,2,,1470369919,4,,10,,,,1,,145,,
1373,2,,1470371148,1,,42,,,,2,,145,,
1376,1,,1470379909,4,69,8,Is it ethical to implement self-defence for street walking AI robots?,"ethics,decision-theory,robots",2,1,,,,
1377,2,,1470380787,2,,42,,,,0,,1376,,
1378,2,,1470380907,2,,75,,,,0,,1376,,
1379,1,1380,1470381094,-1,51,8,How likely is it that Watson-like AI will replace Wikipedia-like encyclopedias?,watson,1,1,,,1470979164,
1380,2,,1470382207,3,,42,,,,0,,1379,,
1381,1,1382,1470382703,2,67,8,How does the Jetson AI write its screenplays?,algorithm,1,0,,,,
1382,2,,1470383530,5,,42,,,,0,,1381,,
1384,1,1385,1470385361,3,177,8,"Are there any learning algorithms as powerful as ""deep"" architectures?","deep-network,comparison,architecture",2,6,3,,,
1385,2,,1470386519,5,,157,,,,2,,1384,,
1386,2,,1470386660,4,,42,,,,0,,1384,,
1387,2,,1470389475,3,,157,,,,0,,6,,
1389,2,,1470391723,0,,127,,,,3,,60,,
1390,1,1412,1470394070,3,637,8,Predicting chemical reactions using AI,"deep-learning,research,prediction",2,0,,,,
1391,1,1399,1470396577,10,314,1270,"How can I plan the topology of a neural network for a given ""random"" problem?","neural-networks,topology",2,0,2,,,
1392,1,1450,1470407084,1,58,8,What are the most challenging tasks aiming to achieve the lowest error rate?,"image-recognition,deep-learning,datasets",1,2,1,,,
1393,1,,1470407844,2,238,8,How do Google cars recognize the traffic signs?,"deep-network,image-recognition,self-driving,classification,cars",1,1,,,,
1394,1,1408,1470410823,2,81,8,Are there any artificial neuromorphic systems which can mimic the brain?,neuromorphic-computing,2,0,1,,,
1395,2,,1470410823,3,,8,,,,0,,1394,,
1396,1,1406,1470412663,14,3555,8,Why can't OCR be perceived as a good example of AI?,ocr,3,0,6,,,
1397,1,1452,1470413059,11,320,8,Are there any AI that have passed the MIST test so far?,"history,intelligence-testing,turing-test,chat-bots",2,0,2,,,
1398,2,,1470423770,4,,1305,,,,0,,1396,,
1399,2,,1470426041,9,,1306,,,,0,,1391,,
1400,2,,1470429238,5,,42,,,,0,,1391,,
1401,1,1403,1470431300,2,50,29,Can we prove that a piece of code in AI software will cause it to never turn against us?,friendly-ai,2,0,,,,
1402,2,,1470431499,9,,42,,,,0,,1396,,
1403,2,,1470432281,5,,66,,,,4,,1401,,
1404,1,1407,1470432472,4,700,29,What is meant by death in this paper?,"research,definitions,death",1,0,1,,,
1405,2,,1470433202,3,,42,,,,0,,1401,,
1406,2,,1470433480,13,,66,,,,2,,1396,,
1407,2,,1470434838,7,,42,,,,1,,1404,,
1408,2,,1470437975,5,,157,,,,0,,1394,,
1409,2,,1470438909,1,,157,,,,0,,1363,,
1410,1,,1470444370,5,49,98,Do specific units exists for measuring the intelligence of a machine?,"machine-learning,classification,intelligence-testing",3,0,1,,,
1411,2,,1470448639,3,,157,,,,0,,1410,,
1412,2,,1470456268,5,,10,,,,0,,1390,,
1413,2,,1470457048,3,,10,,,,0,,1410,,
1414,2,,1470457376,3,,10,,,,0,,41,,
1415,1,1418,1470468290,7,302,42,What kind of body (if any) does intelligence require?,"agi,gofai,embodied-cognition",1,0,2,,,
1416,1,,1470468902,4,514,144,What is the current state-of-the-art in Reinforcement Learning regarding data efficiency?,"algorithm,research,reinforcement-learning",2,0,,,,
1417,2,,1470469295,18,,72,,,,0,,92,,
1418,2,,1470471584,5,,10,,,,1,,1415,,
